round,n_seen,chosen,best_action,got,best_possible,regret,explore_would_get,assay,est_supervised,est_esm2_wtm
3,144,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.0
0,0,explore,explore,2,2,0,2,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,3.84,0.0
2,96,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,2.88,0.0
3,144,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,0.7346938775510203
0,0,explore,explore,2,2,0,2,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,0,2,2,2,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,esm2_wtm,supervised,1,3,2,1,AMIE_PSEAE_Wrenbeck_2017,0.96,2.88
3,144,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,2.204081632653061,0.0
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,1.92,3.84
2,96,supervised,supervised,7,7,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
3,144,supervised,supervised,6,6,0,0,AMIE_PSEAE_Wrenbeck_2017,7.346938775510204,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.0,0.0
2,96,esm2_wtm,supervised,1,2,1,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
3,144,explore,supervised,1,9,8,1,AMIE_PSEAE_Wrenbeck_2017,0.7346938775510203,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,3.84,0.0
2,96,explore,supervised,1,8,7,1,AMIE_PSEAE_Wrenbeck_2017,0.0,0.96
3,144,explore,supervised,0,10,10,0,AMIE_PSEAE_Wrenbeck_2017,0.7346938775510203,1.4693877551020407
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,0.0,0.0
2,96,esm2_wtm,supervised,1,6,5,0,AMIE_PSEAE_Wrenbeck_2017,0.0,2.88
3,144,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,2.9387755102040813,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,6,6,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
3,144,supervised,supervised,11,11,0,0,AMIE_PSEAE_Wrenbeck_2017,6.612244897959183,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,2,2,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,supervised,supervised,6,6,0,2,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
3,144,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,5.142857142857142,5.877551020408163
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,0,1,1,1,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,supervised,explore,0,1,1,1,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
3,144,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,2.9387755102040813,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,3.84
2,96,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,2.88,0.0
3,144,supervised,supervised,7,7,0,1,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.0
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,0,1,1,1,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
3,144,supervised,supervised,9,9,0,0,AMIE_PSEAE_Wrenbeck_2017,2.204081632653061,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,3,3,0,1,AMIE_PSEAE_Wrenbeck_2017,3.84,0.0
3,144,supervised,supervised,7,7,0,1,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,supervised,0,2,2,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,supervised,supervised,3,3,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
3,144,supervised,supervised,1,1,0,0,DYR_ECOLI_Thompson_plusLon_2019,5.142857142857142,2.9387755102040813
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.96,1.92
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,3.84
2,96,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.96
3,144,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
0,0,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,2,2,2,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.96,0.0
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,2,2,0,1,DYR_ECOLI_Thompson_plusLon_2019,3.84,0.0
2,96,supervised,supervised,2,2,0,1,DYR_ECOLI_Thompson_plusLon_2019,2.88,0.0
3,144,supervised,supervised,4,4,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,1.4693877551020407
0,0,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,supervised,0,2,2,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
3,144,explore,supervised,2,4,2,2,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.0
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
3,144,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,3,3,3,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.96,0.0
3,144,supervised,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,0.7346938775510203
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.96,1.92
3,144,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.0
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.96,1.92
3,144,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
3,144,supervised,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,0.0
0,0,explore,supervised,1,2,1,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,3.84
2,96,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,1,1,0,0,DYR_ECOLI_Thompson_plusLon_2019,3.84,1.92
2,96,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.96,0.96
3,144,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.7346938775510203
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,1,2,1,2,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
3,144,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.7346938775510203
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,supervised,0,3,3,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,explore,supervised,0,3,3,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,2.88
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.4693877551020407
0,0,explore,supervised,0,2,2,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,2,2,0,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,supervised,supervised,2,2,0,0,DYR_ECOLI_Thompson_plusLon_2019,4.8,1.92
3,144,esm2_wtm,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.204081632653061,2.9387755102040813
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
2,96,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
3,144,esm2_wtm,supervised,0,2,2,0,DYR_ECOLI_Thompson_plusLon_2019,2.204081632653061,2.9387755102040813
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
3,144,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.0
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
2,96,esm2_wtm,supervised,0,5,5,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,3.84
3,144,supervised,supervised,3,3,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.204081632653061,0.0
0,0,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
3,144,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,1.4693877551020407
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,2,2,0,0,DYR_ECOLI_Thompson_plusLon_2019,3.84,1.92
2,96,esm2_wtm,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,2.88,3.84
3,144,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
2,96,esm2_wtm,supervised,0,2,2,0,DYR_ECOLI_Thompson_plusLon_2019,0.96,1.92
3,144,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.0
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,1,1,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.96
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.0
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
2,96,supervised,supervised,1,1,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.88,2.88
3,144,supervised,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,2.204081632653061
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,5.76,0.0
3,144,supervised,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,4.408163265306122,0.0
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,3,3,0,0,DYR_ECOLI_Thompson_plusLon_2019,5.76,0.0
2,96,supervised,supervised,3,3,0,0,DYR_ECOLI_Thompson_plusLon_2019,3.84,2.88
3,144,esm2_wtm,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,2.204081632653061,3.673469387755102
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,3.84
2,96,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,0.96,0.0
3,144,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,2.204081632653061,0.0
0,0,explore,supervised,1,2,1,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,1,1,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.96,0.96
3,144,supervised,supervised,2,2,0,0,DYR_ECOLI_Thompson_plusLon_2019,4.408163265306122,0.7346938775510203
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,1,1,0,0,DYR_ECOLI_Thompson_plusLon_2019,3.84,1.92
2,96,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.96
3,144,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.7346938775510203
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,3.84,1.92
2,96,esm2_wtm,explore,0,2,2,2,DYR_ECOLI_Thompson_plusLon_2019,0.96,1.92
3,144,supervised,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,2.204081632653061,0.0
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,supervised,0,3,3,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,3.84
2,96,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
3,144,explore,supervised,0,3,3,0,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.0
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,supervised,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,4.8,0.0
3,144,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,0.0
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,2,2,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
2,96,supervised,supervised,2,2,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.88,2.88
3,144,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,5.142857142857142,3.673469387755102
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,supervised,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,2.88,0.0
3,144,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.0
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,supervised,0,3,3,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,supervised,supervised,3,3,0,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
3,144,supervised,supervised,2,2,0,0,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,2.204081632653061
0,0,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,esm2_wtm,explore,0,1,1,1,DYR_ECOLI_Thompson_plusLon_2019,0.0,1.92
2,96,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.96,0.0
3,144,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.7346938775510203
0,0,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,supervised,0,2,2,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,explore,supervised,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.96
3,144,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,1.4693877551020407,0.7346938775510203
0,0,explore,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,supervised,supervised,4,4,0,0,DYR_ECOLI_Thompson_plusLon_2019,1.92,0.0
2,96,supervised,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,1.92,1.92
3,144,supervised,explore,1,1,0,1,DYR_ECOLI_Thompson_plusLon_2019,2.9387755102040813,0.7346938775510203
0,0,explore,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,,
1,48,explore,explore,2,2,0,2,DYR_ECOLI_Thompson_plusLon_2019,0.0,0.0
2,96,esm2_wtm,explore,0,0,0,0,DYR_ECOLI_Thompson_plusLon_2019,0.96,1.92
3,144,explore,esm2_wtm,0,1,1,0,DYR_ECOLI_Thompson_plusLon_2019,0.7346938775510203,0.0
0,0,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,,
1,48,esm2_wtm,supervised,2,8,6,0,ESTA_BACSU_Nutschel_2020,0.0,3.84
2,96,supervised,supervised,9,9,0,2,ESTA_BACSU_Nutschel_2020,4.8,0.96
3,144,supervised,supervised,1,1,0,0,ESTA_BACSU_Nutschel_2020,5.877551020408163,0.7346938775510203
0,0,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,1.92,1.92
2,96,supervised,supervised,4,4,0,0,ESTA_BACSU_Nutschel_2020,2.88,0.96
3,144,supervised,supervised,2,2,0,1,ESTA_BACSU_Nutschel_2020,2.9387755102040813,2.9387755102040813
0,0,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,1.92,1.92
2,96,supervised,esm2_wtm,1,2,1,0,ESTA_BACSU_Nutschel_2020,1.92,1.92
3,144,supervised,supervised,6,6,0,0,ESTA_BACSU_Nutschel_2020,2.204081632653061,1.4693877551020407
0,0,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,esm2_wtm,1,2,1,0,ESTA_BACSU_Nutschel_2020,1.92,0.0
2,96,esm2_wtm,esm2_wtm,2,2,0,0,ESTA_BACSU_Nutschel_2020,1.92,3.84
3,144,supervised,supervised,9,9,0,0,ESTA_BACSU_Nutschel_2020,3.673469387755102,1.4693877551020407
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,supervised,3,3,0,1,ESTA_BACSU_Nutschel_2020,3.84,3.84
2,96,esm2_wtm,supervised,2,3,1,0,ESTA_BACSU_Nutschel_2020,2.88,5.76
3,144,supervised,supervised,6,6,0,0,ESTA_BACSU_Nutschel_2020,5.877551020408163,1.4693877551020407
0,0,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,esm2_wtm,1,2,1,0,ESTA_BACSU_Nutschel_2020,1.92,1.92
2,96,esm2_wtm,supervised,2,4,2,1,ESTA_BACSU_Nutschel_2020,0.96,2.88
3,144,supervised,supervised,10,10,0,1,ESTA_BACSU_Nutschel_2020,2.9387755102040813,1.4693877551020407
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,0.0,0.0
2,96,supervised,supervised,4,4,0,2,ESTA_BACSU_Nutschel_2020,2.88,1.92
3,144,supervised,supervised,4,4,0,0,ESTA_BACSU_Nutschel_2020,5.142857142857142,2.204081632653061
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,esm2_wtm,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,0.0,1.92
2,96,supervised,supervised,10,10,0,1,ESTA_BACSU_Nutschel_2020,1.92,0.96
3,144,supervised,explore,0,2,2,2,ESTA_BACSU_Nutschel_2020,5.142857142857142,0.7346938775510203
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,explore,supervised,0,6,6,0,ESTA_BACSU_Nutschel_2020,0.0,0.0
2,96,supervised,supervised,4,4,0,1,ESTA_BACSU_Nutschel_2020,2.88,0.0
3,144,supervised,supervised,7,7,0,0,ESTA_BACSU_Nutschel_2020,4.408163265306122,2.9387755102040813
0,0,explore,explore,2,2,0,2,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,3.84,0.0
2,96,supervised,esm2_wtm,1,2,1,0,ESTA_BACSU_Nutschel_2020,4.8,2.88
3,144,supervised,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,5.142857142857142,1.4693877551020407
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,esm2_wtm,explore,2,2,0,2,ESTA_BACSU_Nutschel_2020,0.0,3.84
2,96,supervised,supervised,8,8,0,0,ESTA_BACSU_Nutschel_2020,4.8,0.96
3,144,supervised,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,3.673469387755102,0.7346938775510203
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,esm2_wtm,1,2,1,0,ESTA_BACSU_Nutschel_2020,3.84,1.92
2,96,supervised,supervised,5,5,0,1,ESTA_BACSU_Nutschel_2020,2.88,1.92
3,144,supervised,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,4.408163265306122,2.9387755102040813
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,esm2_wtm,supervised,2,3,1,0,ESTA_BACSU_Nutschel_2020,0.0,1.92
2,96,supervised,supervised,7,7,0,2,ESTA_BACSU_Nutschel_2020,2.88,0.96
3,144,supervised,supervised,2,2,0,0,ESTA_BACSU_Nutschel_2020,3.673469387755102,1.4693877551020407
0,0,explore,esm2_wtm,1,2,1,1,ESTA_BACSU_Nutschel_2020,,
1,48,esm2_wtm,esm2_wtm,2,2,0,0,ESTA_BACSU_Nutschel_2020,0.0,3.84
2,96,supervised,supervised,10,10,0,0,ESTA_BACSU_Nutschel_2020,4.8,0.96
3,144,supervised,supervised,1,1,0,0,ESTA_BACSU_Nutschel_2020,2.9387755102040813,0.7346938775510203
0,0,explore,explore,2,2,0,2,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,supervised,3,3,0,0,ESTA_BACSU_Nutschel_2020,1.92,1.92
2,96,supervised,supervised,8,8,0,0,ESTA_BACSU_Nutschel_2020,2.88,1.92
3,144,supervised,supervised,2,2,0,1,ESTA_BACSU_Nutschel_2020,3.673469387755102,2.9387755102040813
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,supervised,esm2_wtm,0,2,2,1,ESTA_BACSU_Nutschel_2020,5.76,0.0
2,96,supervised,esm2_wtm,1,2,1,0,ESTA_BACSU_Nutschel_2020,2.88,0.0
3,144,supervised,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,5.142857142857142,0.0
0,0,explore,esm2_wtm,0,2,2,0,ESTA_BACSU_Nutschel_2020,,
1,48,esm2_wtm,esm2_wtm,2,2,0,0,ESTA_BACSU_Nutschel_2020,0.0,1.92
2,96,supervised,supervised,10,10,0,1,ESTA_BACSU_Nutschel_2020,5.76,0.96
